Slovakia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.2993548387096773,0.56,,,,
1,1801,1.1593548387096773,0.49,,,,
2,1802,0.9793548387096773,0.42,,,,
3,1803,-0.4306451612903227,0.35,,,,
4,1804,-0.2706451612903227,0.27,,,,
5,1805,-1.4506451612903226,0.2,,,,
6,1806,0.9893548387096773,0.12,,,,
7,1807,0.9393548387096773,0.04,,,,
8,1808,-0.7206451612903226,-0.04,,,,
9,1809,-0.20064516129032273,-0.11,,,,
10,1810,-0.06064516129032271,-0.16,,,,
11,1811,1.0693548387096774,-0.18,,,,
12,1812,-1.0006451612903227,-0.19,,,,
13,1813,-0.38064516129032266,-0.2,,,,
14,1814,-0.8606451612903228,-0.19,,,,
15,1815,-0.5506451612903227,-0.17,,,,
16,1816,-0.6806451612903226,-0.13,,,,
17,1817,0.1293548387096773,-0.07,,,,
18,1818,0.3593548387096773,-0.01,,,,
19,1819,0.4393548387096773,0.07,,,,
20,1820,-0.3106451612903227,0.15,,,,
21,1821,0.1993548387096773,0.22,,,,
22,1822,1.3893548387096772,0.27,,,,
23,1823,0.04935483870967733,0.29,,,,
24,1824,0.9593548387096773,0.28,,,,
25,1825,0.5093548387096773,0.26,,,,
26,1826,0.2593548387096773,0.22,,,,
27,1827,0.5393548387096773,0.19,,,,
28,1828,-0.020645161290322678,0.15,,,,
29,1829,-2.0106451612903227,0.11,,,,
30,1830,-0.2906451612903227,0.05,,,,
31,1831,-0.040645161290322696,-0.03,,,,
32,1832,-0.8406451612903227,-0.1,,,,
33,1833,0.2193548387096773,-0.17,,,,
34,1834,1.3393548387096774,-0.22,,,,
35,1835,-0.33064516129032273,-0.25,,,,
36,1836,0.3793548387096773,-0.27,,,,
37,1837,-0.9106451612903228,-0.28,,,,
38,1838,-1.5306451612903227,-0.28,,,,
39,1839,-0.020645161290322678,-0.29,,,,
40,1840,-1.4006451612903228,-0.29,,,,
41,1841,0.7493548387096773,-0.3,,,,
42,1842,-0.7106451612903226,-0.3,,,,
43,1843,0.3193548387096773,-0.28,,,,
44,1844,-0.7406451612903227,-0.25,,,,
45,1845,-0.34064516129032274,-0.22,,,,
46,1846,1.1793548387096773,-0.18,,,,
47,1847,-0.6906451612903226,-0.16,,,,
48,1848,0.4993548387096773,-0.15,,,,
49,1849,-0.5706451612903227,-0.15,,,,
50,1850,-0.26064516129032267,-0.15,,,,
51,1851,-0.07064516129032272,-0.15,,,,
52,1852,0.4293548387096773,-0.15,,,,
53,1853,-0.34064516129032274,-0.15,,,,
54,1854,-0.1706451612903227,-0.14,,,,
55,1855,-0.6406451612903228,-0.11,,,,
56,1856,-0.12064516129032266,-0.08,,,,
57,1857,0.08935483870967731,-0.05,,,,
58,1858,-1.2006451612903226,-0.02,,,,
59,1859,0.7493548387096773,0.01,,,,
60,1860,-0.1806451612903227,0.05,,,,
61,1861,0.1493548387096773,0.09,,,,
62,1862,0.3393548387096773,0.14,,,,
63,1863,1.5293548387096774,0.18,,,,
64,1864,-1.4606451612903226,0.21,,,,
65,1865,-0.09064516129032274,0.23,,,,
66,1866,0.7393548387096773,0.24,,,,
67,1867,-0.12064516129032266,0.24,,,,
68,1868,1.2393548387096773,0.23,,,,
69,1869,0.5893548387096773,0.21,,,,
70,1870,-1.1806451612903226,0.19,,,,
71,1871,-1.4206451612903226,0.16,,,,
72,1872,1.5193548387096774,0.13,,,,
73,1873,0.8693548387096772,0.1,,,,
74,1874,0.02935483870967731,0.07,,,,
75,1875,-1.0606451612903227,0.04,,,,
76,1876,-0.09064516129032274,0.01,,,,
77,1877,0.08935483870967731,-0.01,,,,
78,1878,0.5193548387096774,-0.01,,,,
79,1879,-0.7406451612903227,-0.02,,,,
80,1880,0.2693548387096773,-0.03,,,,
81,1881,-0.8606451612903228,-0.05,,,,
82,1882,0.8693548387096772,-0.07,,,,
83,1883,-0.4506451612903227,-0.09,,,,
84,1884,0.09935483870967732,-0.1,,,,
85,1885,0.3393548387096773,-0.12,,,,
86,1886,0.2993548387096773,-0.14,,,,
87,1887,-0.48064516129032264,-0.14,,,,
88,1888,-0.9306451612903226,-0.15,,,,
89,1889,-0.33064516129032273,-0.16,,,,
90,1890,-0.07064516129032272,-0.16,,,,
91,1891,-0.33064516129032273,-0.15,,,,
92,1892,0.05935483870967728,-0.12,,,,
93,1893,-0.5406451612903227,-0.08,,,,
94,1894,0.2993548387096773,-0.03,,,,
95,1895,-0.24064516129032265,0.01,,,,
96,1896,-0.14064516129032267,0.06,,,,
97,1897,0.16935483870967732,0.1,,,,
98,1898,0.9593548387096773,0.13,,,,
99,1899,0.09935483870967732,0.16,,,,
100,1900,0.8293548387096773,0.17,,,,
101,1901,0.03935483870967732,0.18,,,,
102,1902,-0.8406451612903227,0.18,,,,
103,1903,0.5393548387096773,0.18,,,,
104,1904,0.28935483870967726,0.18,,,,
105,1905,0.2593548387096773,0.16,,,,
106,1906,0.3793548387096773,0.15,,,,
107,1907,-0.15064516129032268,0.14,,,,
108,1908,-0.4306451612903227,0.14,,,,
109,1909,-0.13064516129032266,0.15,,,,
110,1910,0.7793548387096774,0.16,,,,
111,1911,0.7993548387096774,0.16,,,,
112,1912,-0.5306451612903227,0.17,,,,
113,1913,0.2093548387096773,0.19,,,,
114,1914,-0.050645161290322704,0.21,,,,
115,1915,0.1493548387096773,0.23,,,,
116,1916,0.9893548387096773,0.24,,,,
117,1917,-0.14064516129032267,0.24,,,,
118,1918,0.7293548387096773,0.25,,,,
119,1919,-0.38064516129032266,0.27,,,,
120,1920,0.5893548387096773,0.29,,,,
121,1921,0.7893548387096774,0.31,,,,
122,1922,-0.6406451612903228,0.32,,,,
123,1923,0.5993548387096773,0.32,,,,
124,1924,-0.3906451612903227,0.32,,,,
125,1925,0.5393548387096773,0.31,,,,
126,1926,0.9993548387096773,0.31,,,,
127,1927,0.5393548387096773,0.31,,,,
128,1928,0.3893548387096773,0.33,,,,
129,1929,-0.7306451612903226,0.36,,,,
130,1930,1.0193548387096774,0.39,,,,
131,1931,-0.20064516129032273,0.43,,,,
132,1932,0.3593548387096773,0.47,,,,
133,1933,-0.8406451612903227,0.49,,,,
134,1934,1.8193548387096774,0.49,,,,
135,1935,0.3493548387096773,0.49,,,,
136,1936,0.9393548387096773,0.49,,,,
137,1937,0.9593548387096773,0.49,,,,
138,1938,0.7593548387096773,0.51,,,,
139,1939,0.9293548387096773,0.53,,,,
140,1940,-1.6506451612903226,0.55,,,,
141,1941,-0.8506451612903227,0.56,,,,
142,1942,-0.5806451612903227,0.57,,,,
143,1943,0.7693548387096774,0.58,,,,
144,1944,0.4093548387096773,0.59,,,,
145,1945,0.7893548387096774,0.61,,,,
146,1946,0.9193548387096773,0.64,,,,
147,1947,0.4993548387096773,0.67,,,,
148,1948,0.8293548387096773,0.69,,,,
